Date,Option expiration date,Strike short put,Strike long put,DTE,Spread Cost,Commission Sell,Commission Buy,Total Commissions,Status,VIX underlying price at trade,Qty Sell,Qty Buy,Bid Sell,Ask Sell,Bid Buy,Ask Buy,Price Sold,Price Paid,Effective Spread Cost,Total Costs,Strategy File,AVG Expiry Value,Payoff
5/22/2025 16:13,5/2/2025,15,24,10,-93,1.16,1.31,2.47,Exercised,20.69,1,1,0.01,0.03,0.66,0.94,0.01,0.88,-87,-89.47,Selected_vix_put_spread_results_threshold_20-21_strike_15.0.xlsx,462,
5/22/2025 16:18,6/2/2025,16,20,10,-95,1.16,1.31,2.47,Filled,20.69,1,1,0.01,0.05,0.7,0.96,0.01,0.92,-91,-93.47,Selected_vix_put_spread_results_threshold_20-21_strike_16.0.xlsx,400,
5/22/2025 17:40,6/2/2025,17,20,10,-80,1.16,1.31,2.47,Filled,20.83,1,1,0.05,0.09,0.68,0.85,0.08,0.84,-76,-78.47,Selected_vix_put_spread_results_threshold_20-21_strike_17.0.xlsx,300,
5/23/2025 16:22,6/2/2025,20,23,9,-145,1.31,1.46,2.77,Filled,23.59,1,1,0.36,0.43,1.47,1.81,0.39,1.93,-154,-156.77,Selected_vix_put_spread_results_threshold_23-24_strike_20.0.xlsx,482,
5/23/2025 16:40,6/2/2025,21,23,9,-136,1.31,1.51,2.82,Filled,23.59,1,1,0.65,0.87,1.64,2.01,0.7,2.18,-148,-150.82,Selected_vix_put_spread_results_threshold_23-24_strike_21.0.xlsx,564,
5/23/2025 17:14,6/2/2025,21,22,9,-60,1.31,1.46,2.77,Exited,22.37,1,1,0.75,1.01,1.21,1.35,0.82,1.43,-61,-63.77,Selected_vix_put_spread_results_threshold_22-23_strike_21.0.xlsx,133.5,
5/23/2025 17:56,6/2/2025,19,21,9,-81,1.31,1.31,2.62,Filled,21.99,1,1,0.19,0.3,0.76,1,0.17,0.93,-76,-78.62,Selected_vix_put_spread_results_threshold_21-22_strike_19.0.xlsx,263.25,
5/23/2025 18:01,6/2/2025,17,21,9,-96,1.16,1.31,2.47,Filled,21.82,1,1,0.04,0.06,0.78,1,0.04,0.92,-88,-90.47,Selected_vix_put_spread_results_threshold_21-22_strike_17.0.xlsx,335,
5/23/2025 18:11,6/2/2025,20,21,9,-54,1.31,1.31,2.62,Filled,21.89,1,1,0.46,0.58,0.78,1,0.4,0.89,-49,-51.62,Selected_vix_put_spread_results_threshold_21-22_strike_20.0.xlsx,188.75,
5/27/2025 16:09,6/2/2025,15,20,5,-75,1.16,1.31,2.47,Filled,20.25,1,1,0.01,0.03,0.66,0.76,0.01,0.95,-94,-96.47,Selected_vix_put_spread_results_threshold_20-21_strike_15.0.xlsx,221.6666667,
5/27/2025 16:32,6/10/2025,17,20,13,-146,1.16,1.46,2.62,Filled,20.25,1,1,0.08,0.21,1.03,1.54,0.08,1.51,-143,-145.62,Selected_vix_put_spread_results_threshold_20-21_strike_17.0.xlsx,418,
5/27/2025 16:41,6/17/2025,18,19,20,-52,1.31,1.46,2.77,Filled,19.43,1,1,0.63,0.65,1.12,1.15,0.63,1.15,-52,-54.77,Selected_vix_put_spread_results_threshold_19-20_strike_18.0.xlsx,194,
5/27/2025 16:49,6/2/2025,18,19,5,-35,1.31,1.31,2.62,Filled,19.42,1,1,0.15,0.23,0.4,0.5,0.15,0.49,-34,-36.62,Selected_vix_put_spread_results_threshold_19-20_strike_18.0.xlsx,85.5,
